Field_Category,Field_Name,Field_Type,Required,Description,Your_Value,Notes
Basic_Info,name,text,Yes,Official country name,,"Enter the official country name"
Basic_Info,flag,text,Yes,Country flag emoji,,"Copy the country flag emoji"
Basic_Info,slug,text,Yes,URL-friendly identifier,,"lowercase-with-hyphens format"
Basic_Info,region,text,Yes,Geographical region,,"Options: Asia, Europe, Africa, Americas, Oceania"
Basic_Info,visa_required,boolean,Yes,Whether visa is required,,"true or false"
Basic_Info,summary,text,Yes,Brief country visa summary,,"Brief description of visa requirements"
Meta_Info,meta_title,text,No,SEO page title,,"Page title for search engines"
Meta_Info,meta_description,text,No,SEO meta description,,"Brief description for search results"
Meta_Info,keywords,text,No,SEO keywords (comma separated),,"Keywords for SEO"
Admin,published,boolean,Yes,Whether country is published,,"true or false"
Admin,featured,boolean,No,Whether country is featured,,"true or false"
Visa_Type_1,vt1_name,text,No,First visa type name,,"e.g., Tourist Visa"
Visa_Type_1,vt1_purpose,text,No,Purpose of visa,,"e.g., Tourism and family visits"
Visa_Type_1,vt1_entry_type,text,No,Entry type,,"Single, Multiple, or Single/Multiple"
Visa_Type_1,vt1_validity,text,No,Visa validity period,,"e.g., 30 days to 2 years"
Visa_Type_1,vt1_stay_duration,text,No,Maximum stay duration,,"e.g., 30 days per visit"
Visa_Type_1,vt1_extendable,boolean,No,Can visa be extended,,"true or false"
Visa_Type_1,vt1_conditions,text,No,Special conditions (pipe separated),,"Use | to separate multiple conditions"
Visa_Type_1,vt1_notes,text,No,Additional notes,,"Any additional information"
Visa_Type_1,vt1_processing_time,text,No,Processing time,,"e.g., 3-5 working days"
Visa_Type_2,vt2_name,text,No,Second visa type name,,"e.g., Business Visa"
Visa_Type_2,vt2_purpose,text,No,Purpose of visa,,"e.g., Business meetings"
Visa_Type_2,vt2_entry_type,text,No,Entry type,,"Single, Multiple, or Single/Multiple"
Visa_Type_2,vt2_validity,text,No,Visa validity period,,"e.g., 30 days to 2 years"
Visa_Type_2,vt2_stay_duration,text,No,Maximum stay duration,,"e.g., 30 days per visit"
Visa_Type_2,vt2_extendable,boolean,No,Can visa be extended,,"true or false"
Visa_Type_2,vt2_conditions,text,No,Special conditions (pipe separated),,"Use | to separate multiple conditions"
Visa_Type_2,vt2_notes,text,No,Additional notes,,"Any additional information"
Visa_Type_2,vt2_processing_time,text,No,Processing time,,"e.g., 3-5 working days"
Visa_Type_3,vt3_name,text,No,Third visa type name,,"e.g., Transit Visa"
Visa_Type_3,vt3_purpose,text,No,Purpose of visa,,"e.g., Transit through country"
Visa_Type_3,vt3_entry_type,text,No,Entry type,,"Single, Multiple, or Single/Multiple"
Visa_Type_3,vt3_validity,text,No,Visa validity period,,"e.g., 96 hours"
Visa_Type_3,vt3_stay_duration,text,No,Maximum stay duration,,"e.g., 96 hours"
Visa_Type_3,vt3_extendable,boolean,No,Can visa be extended,,"true or false"
Visa_Type_3,vt3_conditions,text,No,Special conditions (pipe separated),,"Use | to separate multiple conditions"
Visa_Type_3,vt3_notes,text,No,Additional notes,,"Any additional information"
Visa_Type_3,vt3_processing_time,text,No,Processing time,,"e.g., At airport"
Documents,doc1_name,text,No,First document name,,"e.g., Passport"
Documents,doc1_required,boolean,No,Is document required,,"true or false"
Documents,doc1_category,text,No,Document category,,"mandatory, for_minors, for_business, conditional"
Documents,doc1_details,text,No,Document details,,"Specific requirements for this document"
Documents,doc1_format,text,No,Required format,,"original, photocopy, scan"
Documents,doc2_name,text,No,Second document name,,"e.g., Visa Application Form"
Documents,doc2_required,boolean,No,Is document required,,"true or false"
Documents,doc2_category,text,No,Document category,,"mandatory, for_minors, for_business, conditional"
Documents,doc2_details,text,No,Document details,,"Specific requirements for this document"
Documents,doc2_format,text,No,Required format,,"original, photocopy, scan"
Documents,doc3_name,text,No,Third document name,,"e.g., Passport-size Photo"
Documents,doc3_required,boolean,No,Is document required,,"true or false"
Documents,doc3_category,text,No,Document category,,"mandatory, for_minors, for_business, conditional"
Documents,doc3_details,text,No,Document details,,"Specific requirements for this document"
Documents,doc3_format,text,No,Required format,,"original, photocopy, scan"
Documents,doc4_name,text,No,Fourth document name,,"e.g., Flight Itinerary"
Documents,doc4_required,boolean,No,Is document required,,"true or false"
Documents,doc4_category,text,No,Document category,,"mandatory, for_minors, for_business, conditional"
Documents,doc4_details,text,No,Document details,,"Specific requirements for this document"
Documents,doc4_format,text,No,Required format,,"original, photocopy, scan"
Documents,doc5_name,text,No,Fifth document name,,"e.g., Bank Statement"
Documents,doc5_required,boolean,No,Is document required,,"true or false"
Documents,doc5_category,text,No,Document category,,"mandatory, for_minors, for_business, conditional"
Documents,doc5_details,text,No,Document details,,"Specific requirements for this document"
Documents,doc5_format,text,No,Required format,,"original, photocopy, scan"
Documents,doc6_name,text,No,Sixth document name,,"e.g., Employment Proof"
Documents,doc6_required,boolean,No,Is document required,,"true or false"
Documents,doc6_category,text,No,Document category,,"mandatory, for_minors, for_business, conditional"
Documents,doc6_details,text,No,Document details,,"Specific requirements for this document"
Documents,doc6_format,text,No,Required format,,"original, photocopy, scan"
Documents,doc7_name,text,No,Seventh document name,,"e.g., Hotel Booking"
Documents,doc7_required,boolean,No,Is document required,,"true or false"
Documents,doc7_category,text,No,Document category,,"mandatory, for_minors, for_business, conditional"
Documents,doc7_details,text,No,Document details,,"Specific requirements for this document"
Documents,doc7_format,text,No,Required format,,"original, photocopy, scan"
Documents,doc8_name,text,No,Eighth document name,,"e.g., Cover Letter"
Documents,doc8_required,boolean,No,Is document required,,"true or false"
Documents,doc8_category,text,No,Document category,,"mandatory, for_minors, for_business, conditional"
Documents,doc8_details,text,No,Document details,,"Specific requirements for this document"
Documents,doc8_format,text,No,Required format,,"original, photocopy, scan"
Photo_Requirements,photo_size,text,Yes,Photo dimensions,,"e.g., 35mm x 45mm"
Photo_Requirements,photo_background,text,Yes,Background color,,"e.g., white"
Photo_Requirements,photo_format,text,No,File format for digital,,"e.g., JPEG"
Photo_Requirements,photo_specifications,text,No,Additional specifications (pipe separated),,"Use | to separate multiple specifications"
Processing_Times,pt1_type,text,No,Processing type 1,,"e.g., regular"
Processing_Times,pt1_duration,text,No,Duration for type 1,,"e.g., 3-5 working days"
Processing_Times,pt1_notes,text,No,Notes for type 1,,"Additional information"
Processing_Times,pt2_type,text,No,Processing type 2,,"e.g., express"
Processing_Times,pt2_duration,text,No,Duration for type 2,,"e.g., 1-2 working days"
Processing_Times,pt2_notes,text,No,Notes for type 2,,"Additional information"
Processing_Times,pt3_type,text,No,Processing type 3,,"e.g., priority"
Processing_Times,pt3_duration,text,No,Duration for type 3,,"e.g., Same day"
Processing_Times,pt3_notes,text,No,Notes for type 3,,"Additional information"
Fees,fee1_type,text,No,Fee type 1,,"e.g., Visa Fee"
Fees,fee1_amount_inr,number,No,Amount in INR,,"Numbers only, no currency symbols"
Fees,fee1_amount_usd,number,No,Amount in USD,,"Numbers only, no currency symbols"
Fees,fee1_amount_local,number,No,Amount in local currency,,"Numbers only, no currency symbols"
Fees,fee1_local_currency,text,No,Local currency code,,"e.g., SGD, EUR, GBP"
Fees,fee1_notes,text,No,Fee notes,,"Additional fee information"
Fees,fee2_type,text,No,Fee type 2,,"e.g., Service Fee"
Fees,fee2_amount_inr,number,No,Amount in INR,,"Numbers only, no currency symbols"
Fees,fee2_amount_usd,number,No,Amount in USD,,"Numbers only, no currency symbols"
Fees,fee2_amount_local,number,No,Amount in local currency,,"Numbers only, no currency symbols"
Fees,fee2_local_currency,text,No,Local currency code,,"e.g., SGD, EUR, GBP"
Fees,fee2_notes,text,No,Fee notes,,"Additional fee information"
Application_Methods,am1_name,text,No,Application method 1,,"embassy, online, voa, agent"
Application_Methods,am1_description,text,No,Method 1 description,,"How to apply using this method"
Application_Methods,am1_requirements,text,No,Method 1 requirements (pipe separated),,"Use | to separate multiple requirements"
Application_Methods,am1_processing_time,text,No,Method 1 processing time,,"Processing time for this method"
Application_Methods,am1_available,boolean,No,Is method 1 available,,"true or false"
Application_Methods,am2_name,text,No,Application method 2,,"embassy, online, voa, agent"
Application_Methods,am2_description,text,No,Method 2 description,,"How to apply using this method"
Application_Methods,am2_requirements,text,No,Method 2 requirements (pipe separated),,"Use | to separate multiple requirements"
Application_Methods,am2_processing_time,text,No,Method 2 processing time,,"Processing time for this method"
Application_Methods,am2_available,boolean,No,Is method 2 available,,"true or false"
Application_Methods,am3_name,text,No,Application method 3,,"embassy, online, voa, agent"
Application_Methods,am3_description,text,No,Method 3 description,,"How to apply using this method"
Application_Methods,am3_requirements,text,No,Method 3 requirements (pipe separated),,"Use | to separate multiple requirements"
Application_Methods,am3_processing_time,text,No,Method 3 processing time,,"Processing time for this method"
Application_Methods,am3_available,boolean,No,Is method 3 available,,"true or false"
Embassies,emb1_city,text,No,Embassy city 1,,"City where embassy is located"
Embassies,emb1_address,text,No,Embassy address 1,,"Full embassy address"
Embassies,emb1_phone,text,No,Embassy phone 1,,"Embassy phone number"
Embassies,emb1_email,text,No,Embassy email 1,,"Embassy email address"
Embassies,emb1_website,text,No,Embassy website 1,,"Embassy website URL"
Embassies,emb2_city,text,No,Embassy city 2,,"City where embassy is located"
Embassies,emb2_address,text,No,Embassy address 2,,"Full embassy address"
Embassies,emb2_phone,text,No,Embassy phone 2,,"Embassy phone number"
Embassies,emb2_email,text,No,Embassy email 2,,"Embassy email address"
Embassies,emb2_website,text,No,Embassy website 2,,"Embassy website URL"
Entry_Points,airports,text,No,Airports (pipe separated),,"Use | to separate multiple airports"
Entry_Points,land_borders,text,No,Land border crossings (pipe separated),,"Use | to separate multiple borders"
Entry_Points,seaports,text,No,Seaports (pipe separated),,"Use | to separate multiple seaports"
Transit_Info,vft_available,boolean,No,Visa-free transit available,,"true or false"
Transit_Info,vft_duration,text,No,Transit duration allowed,,"e.g., 96 hours"
Transit_Info,vft_conditions,text,No,Transit conditions (pipe separated),,"Use | to separate conditions"
Transit_Info,vft_airports,text,No,Transit airports (pipe separated),,"Use | to separate terminals/airports"
Special_Conditions,special_condition_1,text,No,Special condition 1,,"Any special requirement"
Special_Conditions,special_condition_2,text,No,Special condition 2,,"Any special requirement"
Special_Conditions,special_condition_3,text,No,Special condition 3,,"Any special requirement"
Important_Notes,note1_type,text,No,Note 1 type,,"warning, tip, requirement"
Important_Notes,note1_content,text,No,Note 1 content,,"Important information for travelers"
Important_Notes,note1_priority,text,No,Note 1 priority,,"high, medium, low"
Important_Notes,note2_type,text,No,Note 2 type,,"warning, tip, requirement"
Important_Notes,note2_content,text,No,Note 2 content,,"Important information for travelers"
Important_Notes,note2_priority,text,No,Note 2 priority,,"high, medium, low"
Important_Notes,note3_type,text,No,Note 3 type,,"warning, tip, requirement"
Important_Notes,note3_content,text,No,Note 3 content,,"Important information for travelers"
Important_Notes,note3_priority,text,No,Note 3 priority,,"high, medium, low"
Content_Sections,section1_title,text,No,Section 1 title,,"Title for content section"
Content_Sections,section1_content,text,No,Section 1 content,,"Detailed content for section"
Content_Sections,section1_order,number,No,Section 1 order,,"Number indicating display order"
Content_Sections,section2_title,text,No,Section 2 title,,"Title for content section"
Content_Sections,section2_content,text,No,Section 2 content,,"Detailed content for section"
Content_Sections,section2_order,number,No,Section 2 order,,"Number indicating display order"
Content_Sections,section3_title,text,No,Section 3 title,,"Title for content section"
Content_Sections,section3_content,text,No,Section 3 content,,"Detailed content for section"
Content_Sections,section3_order,number,No,Section 3 order,,"Number indicating display order" 